[[ 9.8000e-03,  9.6000e-03,  1.4000e-03],
        [ 9.5170e-03,  9.4439e-03,  1.7696e-03],
        [ 9.2337e-03,  9.2850e-03,  2.1373e-03],
        [ 8.9501e-03,  9.1233e-03,  2.5028e-03],
        [ 8.6661e-03,  8.9586e-03,  2.8660e-03],
        [ 8.3817e-03,  8.7908e-03,  3.2267e-03],
        [ 8.0970e-03,  8.6198e-03,  3.5847e-03],
        [ 7.8118e-03,  8.4455e-03,  3.9399e-03],
        [ 7.5261e-03,  8.2677e-03,  4.2918e-03],
        [ 7.2399e-03,  8.0863e-03,  4.6403e-03],
        [ 6.9532e-03,  7.9013e-03,  4.9851e-03],
        [ 6.6658e-03,  7.7126e-03,  5.3259e-03],
        [ 6.3777e-03,  7.5205e-03,  5.6623e-03],
        [ 6.0886e-03,  7.3251e-03,  5.9941e-03],
        [ 5.7985e-03,  7.1268e-03,  6.3211e-03],
        [ 5.5068e-03,  6.9267e-03,  6.6431e-03],
        [ 5.2131e-03,  6.7263e-03,  6.9606e-03],
        [ 4.9166e-03,  6.5281e-03,  7.2745e-03],
        [ 4.6161e-03,  6.3366e-03,  7.5869e-03],
        [ 4.3097e-03,  6.1589e-03,  7.9021e-03],
        [ 3.9950e-03,  6.0063e-03,  8.2272e-03],
        [ 3.6705e-03,  5.8948e-03,  8.5726e-03],
        [ 3.3383e-03,  5.8409e-03,  8.9472e-03],
        [ 3.0069e-03,  5.8512e-03,  9.3500e-03],
        [ 2.6864e-03,  5.9155e-03,  9.7698e-03],
        [ 2.3808e-03,  6.0163e-03,  1.0196e-02],
        [ 2.0888e-03,  6.1392e-03,  1.0623e-02],
        [ 1.8077e-03,  6.2752e-03,  1.1050e-02],
        [ 1.5350e-03,  6.4191e-03,  1.1476e-02],
        [ 1.2687e-03,  6.5677e-03,  1.1901e-02],
        [ 1.0074e-03,  6.7190e-03,  1.2325e-02],
        [ 7.5001e-04,  6.8719e-03,  1.2748e-02],
        [ 4.9575e-04,  7.0255e-03,  1.3171e-02],
        [ 2.4403e-04,  7.1793e-03,  1.3594e-02],
        [-5.6117e-06,  7.3330e-03,  1.4017e-02],
        [-2.5354e-04,  7.4863e-03,  1.4440e-02]]
